ProductID,ProductName,Category,SubCategory,Brand,SKU,Description,Specifications,UseCase,Price,Unit,Tags
2018,Gloves - Square D Model SQ7974,Safety,Gloves,Square D,SQ7974,"This gloves from Square D is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 50A, Wattage: 50W, Material: Copper, Compliance: RoHS Compliant, Color: Blue",commercial,$750.41,Per 10ft,"data, LED, commercial, commercial"
2019,Outdoor Lighting - Lithonia Model LI2495,Lighting,Outdoor Lighting,Lithonia,LI2495,"This outdoor lighting from Lithonia is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 20A, Wattage: 15W, Material: Steel, Compliance: UL Listed, Color: White",residential,$611.12,Pack,"copper, outdoor, industrial, LED"
2020,Building Wire - Klein Tools Model KL2267,Wire & Cable,Building Wire,Klein Tools,KL2267,"This building wire from Klein Tools is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 30A, Wattage: 50W, Material: Plastic, Compliance: CSA Certified, Color: White",industrial,$759.7,Per 100ft,"electrical, commercial, breaker, data"
2021,Load Centers - GE Model GE6320,Power Distribution,Load Centers,GE,GE6320,"This load centers from GE is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 50A, Wattage: 100W, Material: Copper, Compliance: CSA Certified, Color: Red",residential,$358.18,Per 100ft,"residential, steel, breaker, residential"
2022,Load Centers - Klein Tools Model KL3127,Power Distribution,Load Centers,Klein Tools,KL3127,"This load centers from Klein Tools is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 10A, Wattage: 25W, Material: Aluminum, Compliance: CSA Certified, Color: Blue",healthcare,$89.53,Per 100ft,"healthcare, industrial, LED, residential"
2023,Control Cable - Leviton Model LE1420,Wire & Cable,Control Cable,Leviton,LE1420,"This control cable from Leviton is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 50A, Wattage: 50W, Material: Steel, Compliance: CSA Certified, Color: White",residential,$428.42,Per 100ft,"outdoor, commercial, data, steel"
2024,Sensors - Lithonia Model LI4750,HVAC,Sensors,Lithonia,LI4750,"This sensors from Lithonia is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 50A, Wattage: 15W, Material: Plastic, Compliance: RoHS Compliant, Color: Gray",educational,$609.04,Each,"outdoor, industrial, steel, data"
2025,Receptacles - Southwire Model SO9767,Wiring Devices,Receptacles,Southwire,SO9767,"This receptacles from Southwire is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 50A, Wattage: 100W, Material: Aluminum, Compliance: RoHS Compliant, Color: Blue",commercial,$356.69,Per ft,"commercial, breaker, outdoor, copper"
2026,Thermostats - Southwire Model SO4879,HVAC,Thermostats,Southwire,SO4879,"This thermostats from Southwire is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 10A, Wattage: 15W, Material: Plastic, Compliance: UL Listed, Color: Red",industrial,$790.7,Per 10ft,"data, industrial, electrical, breaker"
2027,Plastic Boxes - Siemens Model SI9358,Electrical Boxes,Plastic Boxes,Siemens,SI9358,"This plastic boxes from Siemens is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 50A, Wattage: 150W, Material: Copper, Compliance: CSA Certified, Color: Gray",commercial,$934.53,Per 100ft,"commercial, copper, data, electrical"
2028,Safety Glasses - Square D Model SQ1235,Safety,Safety Glasses,Square D,SQ1235,"This safety glasses from Square D is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 30A, Wattage: 50W, Material: Steel, Compliance: CSA Certified, Color: White",educational,$869.42,Pack,"copper, LED, commercial, industrial"
2029,Meters - Hubbell Model HU1065,Tools & Testing,Meters,Hubbell,HU1065,"This meters from Hubbell is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 50A, Wattage: 100W, Material: Copper, Compliance: UL Listed, Color: Blue",commercial,$746.96,Per ft,"steel, data, breaker, commercial"
2030,Screws - 3M Model 3M9638,Fasteners,Screws,3M,3M9638,"This screws from 3M is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 10A, Wattage: 100W, Material: Steel, Compliance: CSA Certified, Color: Blue",healthcare,$27.1,Box,"residential, steel, outdoor, electrical"
2031,Connectors - GE Model GE6532,Conduit & Fittings,Connectors,GE,GE6532,"This connectors from GE is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 10A, Wattage: 15W, Material: Copper, Compliance: RoHS Compliant, Color: Blue",educational,$108.57,Pack,"LED, breaker, steel, educational"
2032,Lockout Devices - Southwire Model SO9742,Safety,Lockout Devices,Southwire,SO9742,"This lockout devices from Southwire is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 30A, Wattage: 5W, Material: Plastic, Compliance: CSA Certified, Color: Gray",commercial,$412.13,Per 100ft,"residential, breaker, commercial, industrial"
2033,Portable Cord - Southwire Model SO2081,Wire & Cable,Portable Cord,Southwire,SO2081,"This portable cord from Southwire is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 100A, Wattage: 15W, Material: Aluminum, Compliance: UL Listed, Color: Gray",healthcare,$847.95,Box,"data, healthcare, industrial, outdoor"
2034,Clips - 3M Model 3M6364,Fasteners,Clips,3M,3M6364,"This clips from 3M is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 100A, Wattage: 5W, Material: Steel, Compliance: RoHS Compliant, Color: Blue",commercial,$792.96,Per ft,"outdoor, data, breaker, electrical"
2035,Control Cable - GE Model GE3700,Wire & Cable,Control Cable,GE,GE3700,"This control cable from GE is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 15A, Wattage: 100W, Material: Steel, Compliance: RoHS Compliant, Color: Red",educational,$919.26,Per 10ft,"commercial, data, educational, outdoor"
2036,Hand Tools - Leviton Model LE7224,Tools & Testing,Hand Tools,Leviton,LE7224,"This hand tools from Leviton is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 20A, Wattage: 50W, Material: Copper, Compliance: RoHS Compliant, Color: Black",healthcare,$817.99,Box,"commercial, data, copper, outdoor"
2037,Connectors - Southwire Model SO5662,Conduit & Fittings,Connectors,Southwire,SO5662,"This connectors from Southwire is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 20A, Wattage: 25W, Material: Copper, Compliance: RoHS Compliant, Color: White",industrial,$130.75,Each,"outdoor, copper, steel, breaker"
2038,Screws - Lithonia Model LI9285,Fasteners,Screws,Lithonia,LI9285,"This screws from Lithonia is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 100A, Wattage: 100W, Material: Copper, Compliance: UL Listed, Color: Gray",commercial,$128.05,Each,"residential, data, electrical, commercial"
2039,Covers - Klein Tools Model KL4607,Electrical Boxes,Covers,Klein Tools,KL4607,"This covers from Klein Tools is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 30A, Wattage: 150W, Material: Copper, Compliance: CSA Certified, Color: Gray",educational,$933.3,Per 10ft,"data, copper, commercial, LED"
2040,Hand Tools - GE Model GE4101,Tools & Testing,Hand Tools,GE,GE4101,"This hand tools from GE is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 10A, Wattage: 100W, Material: Copper, Compliance: CSA Certified, Color: Black",educational,$329.75,Per 100ft,"residential, outdoor, educational, electrical"
2041,Circuit Breakers - Southwire Model SO8706,Power Distribution,Circuit Breakers,Southwire,SO8706,"This circuit breakers from Southwire is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 50A, Wattage: 5W, Material: Aluminum, Compliance: UL Listed, Color: Red",industrial,$137.53,Box,"commercial, residential, industrial, electrical"
2042,Indoor Lighting - Allied Model AL7897,Lighting,Indoor Lighting,Allied,AL7897,"This indoor lighting from Allied is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 20A, Wattage: 50W, Material: Copper, Compliance: UL Listed, Color: Red",educational,$531.16,Per ft,"LED, steel, breaker, outdoor"
2043,Bushings - Siemens Model SI9289,Conduit & Fittings,Bushings,Siemens,SI9289,"This bushings from Siemens is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 10A, Wattage: 5W, Material: Steel, Compliance: UL Listed, Color: Blue",healthcare,$419.51,Each,"outdoor, residential, industrial, electrical"
2044,Thermostats - GE Model GE7485,HVAC,Thermostats,GE,GE7485,"This thermostats from GE is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 10A, Wattage: 150W, Material: Plastic, Compliance: UL Listed, Color: Blue",healthcare,$246.33,Box,"data, industrial, steel, LED"
2045,Receptacles - Leviton Model LE4441,Wiring Devices,Receptacles,Leviton,LE4441,"This receptacles from Leviton is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 20A, Wattage: 25W, Material: Aluminum, Compliance: UL Listed, Color: Blue",commercial,$229.28,Per ft,"steel, industrial, residential, commercial"
2046,Outdoor Lighting - GE Model GE7070,Lighting,Outdoor Lighting,GE,GE7070,"This outdoor lighting from GE is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 20A, Wattage: 5W, Material: Plastic, Compliance: CSA Certified, Color: Gray",healthcare,$585.44,Per 100ft,"healthcare, breaker, data, industrial"
2047,Clips - GE Model GE4020,Fasteners,Clips,GE,GE4020,"This clips from GE is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 10A, Wattage: 50W, Material: Steel, Compliance: UL Listed, Color: Black",industrial,$22.47,Pack,"industrial, commercial, residential, steel"
2048,Dampers - Southwire Model SO3193,HVAC,Dampers,Southwire,SO3193,"This dampers from Southwire is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 30A, Wattage: 100W, Material: Steel, Compliance: RoHS Compliant, Color: Blue",healthcare,$346.69,Per ft,"steel, breaker, copper, commercial"
2049,Switches - 3M Model 3M4403,Wiring Devices,Switches,3M,3M4403,"This switches from 3M is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 30A, Wattage: 25W, Material: Steel, Compliance: UL Listed, Color: Red",industrial,$355.55,Per 10ft,"industrial, data, copper, outdoor"
2050,Indoor Lighting - Siemens Model SI4739,Lighting,Indoor Lighting,Siemens,SI4739,"This indoor lighting from Siemens is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 10A, Wattage: 15W, Material: Plastic, Compliance: UL Listed, Color: Blue",healthcare,$504.72,Per 10ft,"healthcare, electrical, commercial, LED"
2051,Load Centers - 3M Model 3M3220,Power Distribution,Load Centers,3M,3M3220,"This load centers from 3M is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 50A, Wattage: 100W, Material: Aluminum, Compliance: UL Listed, Color: Red",residential,$258.78,Each,"residential, copper, steel, industrial"
2052,Control Cable - Allied Model AL1170,Wire & Cable,Control Cable,Allied,AL1170,"This control cable from Allied is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 20A, Wattage: 100W, Material: Plastic, Compliance: CSA Certified, Color: Black",educational,$942.69,Per 10ft,"steel, residential, outdoor, electrical"
2053,Circuit Breakers - Siemens Model SI2571,Power Distribution,Circuit Breakers,Siemens,SI2571,"This circuit breakers from Siemens is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 100A, Wattage: 5W, Material: Plastic, Compliance: CSA Certified, Color: Gray",healthcare,$193.19,Box,"industrial, residential, commercial, copper"
2054,Outdoor Lighting - Hubbell Model HU3503,Lighting,Outdoor Lighting,Hubbell,HU3503,"This outdoor lighting from Hubbell is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 20A, Wattage: 25W, Material: Steel, Compliance: CSA Certified, Color: Blue",commercial,$712.06,Pack,"breaker, outdoor, copper, residential"
2055,Circuit Breakers - 3M Model 3M5433,Power Distribution,Circuit Breakers,3M,3M5433,"This circuit breakers from 3M is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 30A, Wattage: 100W, Material: Plastic, Compliance: RoHS Compliant, Color: Black",industrial,$586.73,Box,"steel, data, breaker, industrial"
2056,Sensors - Southwire Model SO4329,HVAC,Sensors,Southwire,SO4329,"This sensors from Southwire is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 50A, Wattage: 150W, Material: Copper, Compliance: UL Listed, Color: Black",industrial,$107.01,Per ft,"outdoor, residential, LED, steel"
2057,Patch Panels - Siemens Model SI8159,DataCom,Patch Panels,Siemens,SI8159,"This patch panels from Siemens is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 20A, Wattage: 50W, Material: Copper, Compliance: RoHS Compliant, Color: Red",healthcare,$69.37,Per 10ft,"residential, outdoor, commercial, electrical"
2058,Cables - Lithonia Model LI5915,DataCom,Cables,Lithonia,LI5915,"This cables from Lithonia is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 15A, Wattage: 25W, Material: Steel, Compliance: RoHS Compliant, Color: Red",healthcare,$58.47,Pack,"steel, industrial, outdoor, breaker"
2059,Patch Panels - Lithonia Model LI4024,DataCom,Patch Panels,Lithonia,LI4024,"This patch panels from Lithonia is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 10A, Wattage: 5W, Material: Aluminum, Compliance: RoHS Compliant, Color: Black",healthcare,$745.74,Per 10ft,"residential, industrial, data, LED"
2060,Safety Glasses - Klein Tools Model KL9808,Safety,Safety Glasses,Klein Tools,KL9808,"This safety glasses from Klein Tools is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 15A, Wattage: 25W, Material: Aluminum, Compliance: UL Listed, Color: Black",healthcare,$477.47,Each,"industrial, steel, LED, copper"
2061,Gloves - Lithonia Model LI4250,Safety,Gloves,Lithonia,LI4250,"This gloves from Lithonia is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 20A, Wattage: 150W, Material: Copper, Compliance: UL Listed, Color: Red",healthcare,$496.84,Box,"residential, industrial, healthcare, electrical"
2062,Meters - GE Model GE4682,Tools & Testing,Meters,GE,GE4682,"This meters from GE is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 30A, Wattage: 5W, Material: Plastic, Compliance: CSA Certified, Color: Blue",residential,$432.45,Per 10ft,"steel, breaker, data, copper"
2063,Conduits - Leviton Model LE2155,Conduit & Fittings,Conduits,Leviton,LE2155,"This conduits from Leviton is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 20A, Wattage: 100W, Material: Plastic, Compliance: CSA Certified, Color: Red",residential,$688.85,Per 10ft,"LED, industrial, residential, outdoor"
